"dates","variable"
2014-12-06,236.328216552734
2015-01-05,265.443359375
2015-02-03,306.308441162109
2015-03-06,285.916595458984
2015-04-05,277.810852050781
2015-05-06,333.401062011719
2015-06-05,310.232849121094
2015-07-06,315.446624755859
2015-08-06,305.662231445312
2015-09-05,285.662933349609
2015-10-06,241.75617980957
2015-11-05,221.27067565918
2015-12-06,234.758361816406
2016-01-05,257.571197509766
2016-02-03,293.558776855469
2016-03-05,344.444305419922
2016-04-04,335.055419921875
2016-05-05,341.806793212891
2016-06-04,336.257995605469
2016-07-05,312.115844726562
2016-08-05,299.787078857422
2016-09-04,273.189361572266
2016-10-05,235.841537475586
2016-11-04,221.075927734375
2016-12-05,242.912063598633
2017-01-04,276.286010742188
2017-02-02,293.458953857422
2017-03-05,329.431854248047
2017-04-04,275.737548828125
2017-05-05,349.843170166016
2017-06-04,330.715240478516
2017-07-05,314.190124511719
2017-08-05,293.340209960938
2017-09-04,282.669281005859
2017-10-05,250.309020996094
2017-11-04,224.042984008789
2017-12-05,233.923126220703
2018-01-04,273.557006835938
2018-02-02,309.014038085938
2018-03-05,335.392272949219
2018-04-04,296.914703369141
2018-05-05,240.145477294922
2018-06-04,318.203216552734
2018-07-05,309.064331054688
2018-08-05,295.449127197266
2018-09-04,258.173492431641
2018-10-05,239.384902954102
2018-11-04,219.78840637207
2018-12-05,221.953201293945
2019-01-04,242.128952026367
2019-02-02,283.190521240234
2019-03-05,328.617523193359
2019-04-04,312.794921875
2019-05-05,315.958709716797
2019-06-04,329.472808837891
2019-07-05,324.943023681641
2019-08-05,311.675201416016
2019-09-04,278.673950195312
2019-10-05,240.783721923828
2019-11-04,222.17138671875
2019-12-05,238.23876953125
2020-01-04,259.949188232422
2020-02-02,304.339874267578
2020-03-04,299.682922363281
2020-04-03,330.202545166016
2020-05-04,323.393005371094
2020-06-03,335.228820800781
2020-07-04,316.185119628906
2020-08-04,308.351684570312
2020-09-03,264.215454101562
2020-10-04,242.032852172852
2020-11-03,215.88835144043
2020-12-04,235.99967956543
2021-01-03,246.668609619141
2021-02-01,277.709808349609
2021-03-04,303.494049072266
2021-04-03,312.267150878906
2021-05-04,321.883544921875
2021-06-03,343.2568359375
2021-07-04,325.5458984375
2021-08-04,314.7939453125
2021-09-03,270.109100341797
2021-10-04,236.150650024414
2021-11-03,227.890075683594
2021-12-04,236.099655151367
2022-01-03,274.96142578125
2022-02-01,309.66796875
2022-03-04,320.627105712891
2022-04-03,306.877655029297
2022-05-04,302.774627685547
2022-06-03,325.114135742188
2022-07-04,323.508056640625
