"date","net_radiation"
"2014-12-06",21.434944152832
"2015-01-05",32.736770629883
"2015-02-03",47.595901489258
"2015-03-06",53.428466796875
"2015-04-05",66.323394775389
"2015-05-06",54.055709838868
"2015-06-05",48.1442718505869
"2015-07-06",51.711608886718
"2015-08-06",42.793884277343
"2015-09-05",28.830307006836
"2015-10-06",23.294815063477
"2015-11-05",14.540336608888
"2015-12-06",22.125839233398
"2016-01-05",36.73893737793
"2016-02-03",45.531646728516
"2016-03-05",53.0743865966799
"2016-04-04",59.096725463866
"2016-05-05",50.8710327148441
"2016-06-04",52.839538574219
"2016-07-05",60.202438354491
"2016-08-05",48.176315307618
"2016-09-04",33.600997924805
"2016-10-05",19.46671295166
"2016-11-04",14.694358825683
"2016-12-05",20.077117919922
"2017-01-04",35.728622436524
"2017-02-02",47.399017333984
"2017-03-05",53.867980957032
"2017-04-04",61.8085021972651
"2017-05-05",58.2045898437501
"2017-06-04",52.994537353516
"2017-07-05",52.730102539062
"2017-08-05",44.313201904297
"2017-09-04",29.519210815429
"2017-10-05",18.772735595704
"2017-11-04",17.301345825196
"2017-12-05",21.765441894531
"2018-01-04",34.520874023438
"2018-02-02",48.3682403564461
"2018-03-05",51.765457153321
"2018-04-04",51.685363769531
"2018-05-05",73.5338592529293
"2018-06-04",76.4357910156239
"2018-07-05",53.84538269043
"2018-08-05",45.127304077149
"2018-09-04",29.826278686524
"2018-10-05",21.284042358399
"2018-11-04",18.038208007812
"2018-12-05",25.46597290039
"2019-01-04",41.3697967529289
"2019-02-02",52.968032836913
"2019-03-05",51.595550537109
"2019-04-04",54.948974609375
"2019-05-05",62.048767089843
"2019-06-04",54.759353637695
"2019-07-05",58.3470764160161
"2019-08-05",46.7227172851561
"2019-09-04",36.161529541015
"2019-10-05",22.487396240234
"2019-11-04",20.441040039062
"2019-12-05",26.269958496094
"2020-01-04",36.681045532227
"2020-02-02",44.531723022461
"2020-03-04",49.087173461914
"2020-04-03",50.5160217285161
"2020-05-04",55.044830322266
"2020-06-03",59.7130279541011
"2020-07-04",57.389114379883
"2020-08-04",44.189865112304
"2020-09-03",30.730850219726
"2020-10-04",21.031661987305
"2020-11-03",22.2753295898437
"2020-12-04",23.071632385254
"2021-01-03",34.280410766602
"2021-02-01",49.147994995118
"2021-03-04",62.655349731446
"2021-04-03",63.8840942382811
"2021-05-04",60.470733642578
"2021-06-03",50.915664672852
"2021-07-04",51.246704101562
"2021-08-04",41.516815185547
"2021-09-03",32.850769042969
"2021-10-04",19.9833145141611
"2021-11-03",12.793640136719
"2021-12-04",23.843391418457
"2022-01-03",32.497970581055
"2022-02-01",42.212371826172
"2022-03-04",48.07633972168
"2022-04-03",57.124908447266
"2022-05-04",63.037826538086
"2022-06-03",49.324111938477
"2022-07-04",51.565490722656
"2022-08-04",42.545959472657
"2022-09-03",32.113220214843
"2022-10-04",19.113685607911
"2022-11-03",15.066284179687
"2022-12-04",20.959800720215
"2023-01-03",30.850616455078
"2023-02-01",45.485702514649
"2023-03-04",51.407272338868
"2023-04-03",54.604843139648
"2023-05-04",56.349502563476
"2023-06-03",57.6133880615239
"2023-07-04",54.021850585938
"2023-08-04",42.811965942383
"2023-09-03",28.635604858398
"2023-10-04",21.948440551757
"2023-11-03",18.693504333495
"2023-12-04",20.018661499023
"2024-01-03",36.4903717040999
"2024-02-01",43.10025024414
"2024-03-03",52.207550048828
"2024-04-02",57.605346679687
"2024-05-03",57.212341308594
"2024-06-02",52.8269348144531
