"dates","variable"
2014-12-06,109.919090270996
2015-01-05,123.309432983398
2015-02-03,143.481063842773
2015-03-06,132.038208007812
2015-04-05,123.069702148438
2015-05-06,155.522811889648
2015-06-05,145.216415405273
2015-07-06,146.710968017578
2015-08-06,142.871673583984
2015-09-05,133.808700561523
2015-10-06,112.454376220703
2015-11-05,103.01488494873
2015-12-06,108.538040161133
2016-01-05,115.320816040039
2016-02-03,136.910186767578
2016-03-05,161.431228637695
2016-04-04,156.193008422852
2016-05-05,160.079711914062
2016-06-04,156.897155761719
2016-07-05,143.11296081543
2016-08-05,139.46208190918
2016-09-04,127.365005493164
2016-10-05,110.076667785645
2016-11-04,103.073310852051
2016-12-05,113.372024536133
2017-01-04,129.04084777832
2017-02-02,136.651275634766
2017-03-05,154.311340332031
2017-04-04,120.934051513672
2017-05-05,161.784942626953
2017-06-04,154.347900390625
2017-07-05,146.39111328125
2017-08-05,136.489593505859
2017-09-04,132.11149597168
2017-10-05,116.873718261719
2017-11-04,103.753265380859
2017-12-05,108.174591064453
2018-01-04,127.772491455078
2018-02-02,144.069076538086
2018-03-05,157.505477905273
2018-04-04,137.705444335938
2018-05-05,94.1871490478516
2018-06-04,135.057067871094
2018-07-05,141.867630004883
2018-08-05,137.212844848633
2018-09-04,120.006393432617
2018-10-05,110.823699951172
2018-11-04,100.475784301758
2018-12-05,100.370803833008
2019-01-04,105.393737792969
2019-02-02,128.004043579102
2019-03-05,153.853881835938
2019-04-04,144.288940429688
2019-05-05,146.119323730469
2019-06-04,151.775772094727
2019-07-05,147.764862060547
2019-08-05,145.336090087891
2019-09-04,129.711090087891
2019-10-05,111.364624023438
2019-11-04,100.783203125
2019-12-05,108.409301757812
2020-01-04,121.014236450195
2020-02-02,142.558700561523
2020-03-04,140.953720092773
2020-04-03,154.859680175781
2020-05-04,150.345275878906
2020-06-03,155.349136352539
2020-07-04,146.46061706543
2020-08-04,144.012344360352
2020-09-03,123.430740356445
2020-10-04,112.647003173828
2020-11-03,97.7254180908203
2020-12-04,109.316719055176
2021-01-03,111.466354370117
2021-02-01,126.287216186523
2021-03-04,134.26692199707
2021-04-03,141.726684570312
2021-05-04,148.440795898438
2021-06-03,160.587936401367
2021-07-04,152.066162109375
2021-08-04,147.180999755859
2021-09-03,125.731719970703
2021-10-04,109.651039123535
2021-11-03,106.214538574219
2021-12-04,109.683174133301
2022-01-03,128.49055480957
2022-02-01,145.329406738281
2022-03-04,150.654434204102
2022-04-03,142.111175537109
2022-05-04,137.938430786133
2022-06-03,151.936172485352
2022-07-04,150.744140625
2022-08-04,140.057067871094
2022-09-03,127.39013671875
2022-10-04,109.703987121582
2022-11-03,102.034820556641
2022-12-04,108.440498352051
2023-01-03,120.986511230469
2023-02-01,137.874771118164
2023-03-04,150.681594848633
2023-04-03,130.509658813477
2023-05-04,140.786117553711
2023-06-03,155.674819946289
2023-07-04,151.754241943359
2023-08-04,143.425735473633
2023-09-03,118.629837036133
2023-10-04,112.491592407227
2023-11-03,104.51554107666
2023-12-04,107.721069335938
2024-01-03,123.527969360352
2024-02-01,146.387145996094
2024-03-03,157.436676025391
2024-04-02,153.6953125
2024-05-03,155.928924560547
2024-06-02,150.826873779297
2024-07-03,152.966262817383
2024-08-03,144.033309936523
2024-09-02,117.44221496582
2024-10-03,89.5587539672852
2024-11-02,104.570503234863
2024-12-03,110.286376953125
2025-01-02,127.512786865234
2025-01-31,145.007354736328
2025-03-03,140.590393066406
2025-04-02,125.735626220703
2025-05-03,152.919845581055
2025-06-02,155.921020507812
2025-07-03,150.530990600586
2025-08-03,144.579360961914
2025-09-02,130.005905151367
2025-10-03,111.303169250488
2025-11-02,106.318161010742
2025-12-03,108.958320617676
2026-01-02,119.809280395508
2026-01-31,137.360626220703
2026-03-03,159.914321899414
2026-04-02,145.490615844727
